INFO     core.jenkins_utils:jenkins_utils.py:210 running cleanup
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/url HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/url HTTP/1.1" 200 0
DEBUG    Header:ui_element.py:81 Navigating to MainPage with click on (('id', 'jenkins-home-link'),)
DEBUG    Header:ui_element.py:28 waiting for element_to_be_clickable(('id', 'jenkins-home-link'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.D352FFB805D6447AFCA809D284D70535.e.165/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.D352FFB805D6447AFCA809D284D70535.e.165/click HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/url HTTP/1.1" 200 0
DEBUG    MainPage:ui_element.py:81 Navigating to NewItemPage with click on (('link text', 'New Item'),)
DEBUG    MainPage:ui_element.py:28 waiting for element_to_be_clickable(('link text', 'New Item'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.37ABF9ABC26DE79C067D056EF8A89475.e.211/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.37ABF9ABC26DE79C067D056EF8A89475.e.211/click HTTP/1.1" 200 0
DEBUG    NewItemPage:base_page.py:22 Waiting for page content to load: http://localhost:8080/view/all/newJob
DEBUG    NewItemPage:ui_element.py:28 waiting for presence_of_element_located(('xpath', "//h1[text()='New Item']"),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    NewItemPage:base_page.py:25 Page content loaded: http://localhost:8080/view/all/newJob
DEBUG    NewItemPage:ui_element.py:28 waiting for presence_of_element_located(('css selector', '#name'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.A4604C2A05D9A32E199B42893110408B.e.218/value HTTP/1.1" 200 0
DEBUG    NewItemPage:ui_element.py:28 waiting for element_to_be_clickable(('css selector', '[class*="cloudbees_hudson_plugins_folder"]'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.A4604C2A05D9A32E199B42893110408B.e.275/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.A4604C2A05D9A32E199B42893110408B.e.275/click HTTP/1.1" 200 0
DEBUG    NewItemPage:ui_element.py:28 waiting for element_to_be_clickable(('css selector', '#ok-button'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
